"id","fqdn/ip","port","severity","finding","cve","cwe"
"DROWN","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.pole-emploi.fr/185.215.64.1","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=8271F36203EFB98202A73B2D799D57588FEB6845423CD8F2C3E76E71AD19C552","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.pole-emploi.fr/185.215.64.1","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST_CBC_TLS1","www.pole-emploi.fr/185.215.64.1","443","MEDIUM","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA AES128-SHA AES256-SHA CAMELLIA128-SHA CAMELLIA256-SHA","CVE-2011-3389","CWE-20"
"BEAST","www.pole-emploi.fr/185.215.64.1","443","LOW","VULNERABLE -- but also supports higher protocols  TLSv1.1 TLSv1.2 (likely mitigated)","CVE-2011-3389","CWE-20"
"LUCKY13","www.pole-emploi.fr/185.215.64.1","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_500","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_60","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_70","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_81","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_90","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_X","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-chrome_74_win10","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-chrome_79_win10","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-firefox_66_win81","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-firefox_71_win10","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_6_xp","www.pole-emploi.fr/185.215.64.1","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.0 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_8_xp","www.pole-emploi.fr/185.215.64.1","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win81","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_winphone81","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win10","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-edge_15_win10","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-edge_17_win10","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-opera_66_win10","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-safari_9_ios9","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-safari_9_osx1011","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-safari_10_osx1012","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-safari_121_ios_122","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-safari_130_osx_10146","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-apple_ats_9_ios9","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-java_6u45","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.0 AES128-SHA","",""
"clientsimulation-java_7u25","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.0 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-java_8u161","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-java1102","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-java1201","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-openssl_102e","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-openssl_110l","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-openssl_111d","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-thunderbird_68_3_1","www.pole-emploi.fr/185.215.64.1","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"rating_spec","www.pole-emploi.fr/185.215.64.1","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.pole-emploi.fr/185.215.64.1","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.pole-emploi.fr/185.215.64.1","443","INFO","95","",""
"protocol_support_score_weighted","www.pole-emploi.fr/185.215.64.1","443","INFO","28","",""
"key_exchange_score","www.pole-emploi.fr/185.215.64.1","443","INFO","90","",""
"key_exchange_score_weighted","www.pole-emploi.fr/185.215.64.1","443","INFO","27","",""
"cipher_strength_score","www.pole-emploi.fr/185.215.64.1","443","INFO","60","",""
"cipher_strength_score_weighted","www.pole-emploi.fr/185.215.64.1","443","INFO","24","",""
"final_score","www.pole-emploi.fr/185.215.64.1","443","INFO","79","",""
"overall_grade","www.pole-emploi.fr/185.215.64.1","443","MEDIUM","B","",""
"grade_cap_reason_1","www.pole-emploi.fr/185.215.64.1","443","INFO","Grade capped to B. TLS 1.1 offered","",""
"grade_cap_reason_2","www.pole-emploi.fr/185.215.64.1","443","INFO","Grade capped to B. TLS 1.0 offered","",""
"grade_cap_reason_3","www.pole-emploi.fr/185.215.64.1","443","INFO","Grade capped to A. HSTS is not offered","",""
